date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:59	92870/92870	---MCZ	200	added ('OK')	application/javascript	etag:%227feaeeaf3cbbc09dea6bd2d3335a313e-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/vendor-db-CupY014F.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/vendor-db-CupY014F.js	(from https://role-verse-lite-chester.netlify.app/)
21:42:00	195832/195832	---MCZ	200	added ('OK')	application/javascript	etag:%22d069337ed25cb9948f72d658051f2c57-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/services-memory-B8Y9glqe.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/services-memory-B8Y9glqe.js	(from https://role-verse-lite-chester.netlify.app/)
21:42:01	229322/229322	---MCZ	200	added ('OK')	application/javascript	etag:%22ea69c2691298de922c11d831aacb1cbe-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/services-utils-DBsuzUq6.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/services-utils-DBsuzUq6.js	(from https://role-verse-lite-chester.netlify.app/)
21:42:01	225645/225645	---MCZ	200	added ('OK')	application/javascript	etag:%222aa7d43640e608194407741b822e56aa-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/vendor-ai-BTFz25UL.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/vendor-ai-BTFz25UL.js	(from https://role-verse-lite-chester.netlify.app/)
21:42:02	284525/284525	---MCZ	200	added ('OK')	application/javascript	etag:%22a277997efdb97008da5426318ac9fd80-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/services-ai-BnwXY5bg.js	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/services-ai-BnwXY5bg.js	(from https://role-verse-lite-chester.netlify.app/)
21:42:03	2565/2565	---M-Z	200	added ('OK')	text/css	etag:%22475f26d9c81be3ebec79284bb352d22b-ssl-df%22	https://role-verse-lite-chester.netlify.app/assets/index-DDWZh6OD.css	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/role-verse-lite-chester.netlify.app/assets/index-DDWZh6OD.css	(from https://role-verse-lite-chester.netlify.app/)
21:42:03	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Oct%202025%2014:42:03%20GMT	https://fonts.googleapis.com/robots.txt		(from https://role-verse-lite-chester.netlify.app/)
21:42:03	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Oct%202025%2014:42:03%20GMT	https://fonts.gstatic.com/robots.txt		(from https://role-verse-lite-chester.netlify.app/)
21:42:04	14540/14540	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:57:08%20GMT	https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt7-GT7LEc.woff2	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt7-GT7LEc.woff2	(from https://fonts.googleapis.com/css2?family=Cinzel:wght@400;700&family=Merriweather:ital,wght@0,300;0,400;0,700;0,900;1,300;1,400;1,700;1,900&display=swap)
21:42:04	25904/25904	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:58:32%20GMT	https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7.woff2	C:/Users/Mialui/Desktop/aisangtac/offline_sites/role-verse-lite-chester.netlify.app/fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7.woff2	(from https://fonts.googleapis.com/css2?family=Cinzel:wght@400;700&family=Merriweather:ital,wght@0,300;0,400;0,700;0,900;1,300;1,400;1,700;1,900&display=swap)
